"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","522","smoke test","chromium","2026-06-03","passed","2026-06-03","","smoke.spec.ts","",""
"","5528","TC-03 Tags validation - min 1 max 3","chromium","2026-06-03","passed","2026-06-03","","tags-validation.spec.ts","",""
"","5322","TC-06 Source field validation","chromium","2026-06-03","passed","2026-06-03","","source-validation.spec.ts","",""
"","5366","TC-02 Title field validation","chromium","2026-06-03","passed","2026-06-03","","title-validation.spec.ts","",""
"","5087","TC-09 Only author sees Edit news button","chromium","2026-06-03","passed","2026-06-03","","edit-button-visibility.spec.ts","",""
"","6087","TC-01 Create News basic flow","chromium","2026-06-03","passed","2026-06-03","","create-news-form.spec.ts","",""
"","6669","TC-04 Image upload validation","chromium","2026-06-03","passed","2026-06-03","","image-upload.spec.ts","",""
"","5737","TC-08 Preview news content","chromium","2026-06-03","passed","2026-06-03","","preview-news.spec.ts","",""
"","6422","TC-07 Cancel button confirmation modal","chromium","2026-06-03","passed","2026-06-03","","cancel-news.spec.ts","",""
"","6310","TC-05 Main Text field validation","chromium","2026-06-03","passed","2026-06-03","","content-validation.spec.ts","",""
"","5080","TC-10 Author can edit their own news","chromium","2026-06-03","passed","2026-06-03","","edit-news.spec.ts","",""
